ID,N,E,"Accuracy (radius, m)","Thickness, m","Absolute elevation, m a.s.l.",Type of excavation,Geomorphological position modern,Geomorphological position,Name of geographic feature,Nearest locality,Administrative unit,Type of deposits,Stratigraphic position,Chronological data available,Dating method,Number of magnetostratigraphy boundaries,Number of  14С dates ,Number of  OSL dates,Number of  TL dates,Number of (U–Th)/He dates ,Publication 1,DOI / link 1,Publication 2,DOI / link 2,Publication 3,DOI / link 3,Publication 4,DOI / link 4,Principal investigator,Comments,Data contributor,n_sources
1,44.78053,44.16336,5000,1–100,90–130,ND,ND,ND,Буденновск,Буденновск,ND,alluvium; loess; loess-like loam; loess-like silty loam; marine deposits; slope deposits,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,OSL; TL; magnetostratigraphy,ND,ND,ND,ND,ND,Галай Научные статьи.pdf,ND,Галай_1981_Некотороые закономерности строения лессовых толщ.pdf,ND,Диссертация Галай,ND,Трофимов_ред._Лессовый покров Земли_2001.pdf,ND,ND,консолидировано из 5 источн.; г. Буденновск || г. Буденновск,auto-extraction (loess pipeline),5
7469,49.49839,63.35622,5000,0.25,ND,ND,ND,ND,станция 6046,станция 6046,ND,loess; slope deposits,Upper Pleistocene; Holocene,Yes,OSL; magnetostratigraphy,ND,ND,ND,ND,ND,Quarter 2013 better1.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; «на станции 6046 их мощность составляет 0.25 м»,auto-extraction (loess pipeline),1
7470,49.49839,63.35622,5000,0.06,ND,ND,ND,ND,станция 1169,станция 1169,ND,loess; slope deposits,Upper Pleistocene; Holocene,Yes,OSL; magnetostratigraphy,ND,ND,ND,ND,ND,Quarter 2013 better1.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; «на станции 1169–0.06 м)»,auto-extraction (loess pipeline),1
7476,49.43672,27.4041,5000,ND,ND,ND,ND,ND,Меджибож 2,Меджибож 2,ND,alluvium,Middle Pleistocene,Yes,OSL; TL,ND,ND,ND,ND,ND,Quarter 2013 better1.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; фауна сравнительно богатого количественно и разнообразного таксономически местонахождения Меджибож 2,auto-extraction (loess pipeline),1
7477,49.43672,27.4041,5000,ND,ND,ND,ND,ND,Меджибож 3,Меджибож 3,ND,alluvium,Middle Pleistocene,Yes,OSL; TL,ND,ND,ND,ND,ND,Quarter 2013 better1.pdf,ND,ND,ND,ND,ND,ND,ND,ND,"консолидировано из 1 источн.; фауне местонахождения Меджибож 3, которая, скорее всего, есть еще более древней",auto-extraction (loess pipeline),1
7484,51.5482,107.66701,5000,ND,ND,ND,ND,ND,Надеино,Надеино,"Бурятия, Тарбагатайский район",loess-like silty loam,Holocene,Yes,14C,ND,ND,ND,ND,ND,Quarter 2013 better1.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; В разрезе в днище балки (разрез Надеино),auto-extraction (loess pipeline),1
7485,51.43158,107.61142,5000,ND,ND,ND,ND,ND,Большой Куналей,Большой Куналей,"Бурятия, Тарбагатайский район",loess-like silty loam,Holocene,Yes,14C,ND,ND,ND,ND,ND,Quarter 2013 better1.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; Таблица 1: С. Большой Куналей. Падь Нижняя Буланка. Древний конус выноса,auto-extraction (loess pipeline),1
7486,51.52785,107.7578,5000,ND,ND,ND,ND,ND,Куйтун,Куйтун,"Бурятия, Тарбагатайский район",loess-like silty loam,Holocene,Yes,14C,ND,ND,ND,ND,ND,Quarter 2013 better1.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; Таблица 1: С. Куйтун. Погребенный овраг,auto-extraction (loess pipeline),1
7514,55.61991,52.14354,5000,ND,ND,ND,ND,ND,Биклянь,Биклянь,ND,ND,ND,Yes,ND,ND,ND,ND,ND,ND,Quarter 2013 better1.pdf,ND,ND,ND,ND,ND,ND,ND,ND,"консолидировано из 1 источн.; 1. Изучены опорные разрезы четвертичных и плиоценовых отложений (Биклянь, Афанасово и др.).",auto-extraction (loess pipeline),1
7525,41.47375,44.69453,5000,ND,ND,ND,ND,ND,Арухло,Арухло,ND,slope deposits,Holocene,Yes,OSL; magnetostratigraphy,ND,ND,ND,ND,ND,Quarter 2013 better1.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; «Возобновление земледелия проявляется по большому содержанию пыльцы злаков в разрезе Арухло»,auto-extraction (loess pipeline),1
7532,46.83711,29.611,5000,ND,ND,ND,ND,ND,Тираспольский,Тираспольский,ND,ND,ND,Yes,ND,ND,ND,ND,ND,ND,Quarter 2013 better1.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; Тираспольский,auto-extraction (loess pipeline),1
7533,45.14771,36.78559,5000,ND,ND,ND,ND,ND,Таманский,Таманский,ND,ND,ND,Yes,ND,ND,ND,ND,ND,ND,Quarter 2013 better1.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; Таманский,auto-extraction (loess pipeline),1
7536,48.55953,40.23683,5000,ND,ND,ND,ND,ND,Урывский,Урывский,ND,ND,ND,Yes,ND,ND,ND,ND,ND,ND,Quarter 2013 better1.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; Урывский,auto-extraction (loess pipeline),1
7547,68.85397,33.01566,5000,0.99,50,ND,ND,ND,Молочный,Молочный,Мурманская область,loess-like loam,Upper Pleistocene; Holocene,Yes,ND,ND,ND,ND,ND,ND,Quarter 2013 better1.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; в 2 км на северо-восток от пос. Молочный,auto-extraction (loess pipeline),1
7548,68.81927,32.6906,5000,0.9,23,ND,ND,ND,Тулома,Тулома,Мурманская область,loess-like loam,Upper Pleistocene; Holocene,Yes,ND,ND,ND,ND,ND,ND,Quarter 2013 better1.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; в 9 км на юго-запад от пос. Тулома,auto-extraction (loess pipeline),1
7576,48.12041,26.12382,5000,ND,ND,ND,ND,ND,Байраки,Байраки,ND,loess; loess-like silty loam,Lower Pleistocene,Yes,magnetostratigraphy,ND,ND,ND,ND,ND,Quarter 2013 better1.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; Байраки – новая стоянка раннего палеолита на нижнем Днестре,auto-extraction (loess pipeline),1
7581,51.00489,39.33448,5000,60–70,ND,ND,ND,ND,Копанище,Копанище,ND,alluvium; slope deposits,Upper Pleistocene,Yes,ND,ND,ND,ND,ND,ND,Quarter 2013 better1.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; «Изучение разрезов меловых пород карьера Копанище показывает присутствие безкорневых гляциотектонических нарушений»,auto-extraction (loess pipeline),1
7582,54.39633,21.11057,5000,ND,ND,ND,ND,ND,Севское,Севское,ND,alluvium,Upper Pleistocene,Yes,14C,ND,ND,ND,ND,ND,Quarter 2013 better1.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; на осмотренных нами костях из естественного Севского местонахождения следы корней не обнаружены.,auto-extraction (loess pipeline),1
7585,58.04922,36.98097,5000,ND,ND,ND,ND,ND,Пальниково,Пальниково,ND,alluvium; loess; loess-like loam; loess-like silty loam; marine deposits; slope deposits,Middle Pleistocene,Yes,ND,ND,ND,ND,ND,ND,Quarter 2013 better1.pdf,ND,ND,ND,ND,ND,ND,ND,ND,"консолидировано из 1 источн.; Пальниково (Шик и др., 2009, и др.), где они залегают между вологодской и московской моренами",auto-extraction (loess pipeline),1
7587,55.44284,35.04668,5000,ND,ND,ND,ND,ND,Рождество,Рождество,Смоленская область,alluvium; loess; loess-like loam; loess-like silty loam; marine deposits; slope deposits,Middle Pleistocene,Yes,ND,ND,ND,ND,ND,ND,Quarter 2013 better1.pdf,ND,ND,ND,ND,ND,ND,ND,ND,"консолидировано из 1 источн.; Рождество в Смоленской области (Шик и др., 2002)",auto-extraction (loess pipeline),1
7588,55.95699,39.63289,5000,ND,ND,ND,ND,ND,Липна,Липна,Владимирская область,alluvium; loess; loess-like loam; loess-like silty loam; marine deposits; slope deposits,Middle Pleistocene,Yes,ND,ND,ND,ND,ND,ND,Quarter 2013 better1.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; Липна во Владимерской области (Путеводитель … 1984),auto-extraction (loess pipeline),1
7597,51.66738,81.39694,5000,9,8–12,ND,ND,ND,Бобково,Бобково,"Рубцовский район, Алтайский край",alluvium; loess-like loam,Upper Pleistocene; Holocene,Yes,14C,ND,ND,ND,ND,ND,Quarter 2013 better1.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; в 3 км западнее с. Бобково,auto-extraction (loess pipeline),1
7598,58.82865,29.34181,5000,ND,ND,ND,ND,ND,Ложок,Ложок,ND,loess,Upper Pleistocene,Yes,magnetostratigraphy,ND,ND,ND,ND,ND,Quarter 2013 better1.pdf,ND,ND,ND,ND,ND,ND,ND,ND,"консолидировано из 1 источн.; Сизикова А.О. Комплексное исследование верхненеоплейстоценовых горизонтов лёссов юга Западной Сибири, разрез Ложок..… 591",auto-extraction (loess pipeline),1
7614,44.23486,45.95816,5000,ND,ND,ND,ND,ND,Ногайская степь,Ногайская степь,ND,loess; slope deposits,Upper Pleistocene,Yes,ND,ND,ND,ND,ND,ND,Rozycki. Loess and loess-like deposits.pdf,ND,ND,ND,ND,ND,ND,ND,ND,"консолидировано из 1 источн.; The zone of compact surfaces of eolian sands extends also over the wide-speed terrains to the north and north-west of the Caspian Sea, in the Caspian",auto-extraction (loess pipeline),1
7616,46.69251,31.90388,5000,2.2–2.5,ND,ND,ND,ND,Ольвия,Ольвия,"Николаевская область, Украина",loess,Holocene,Yes,14C,ND,ND,ND,ND,ND,Rozycki. Loess and loess-like deposits.pdf,ND,ND,ND,ND,ND,ND,ND,ND,"консолидировано из 1 источн.; классические наблюдения... при раскопках древнегреческого города Ольвия, датируемого V в. до н.э., расположенного в 35 км к западу от Николаева и окол",auto-extraction (loess pipeline),1
7625,72.98566,119.82186,5000,ND,ND,ND,ND,ND,Усть‑Оленек,Усть‑Оленек,ND,loess,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,magnetostratigraphy,ND,ND,ND,ND,ND,Ruhin_LB_1959_Osnovi_obschei_paleogeografii.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; «118° 120° 122° 124° 126° Усть‑Оленек»,auto-extraction (loess pipeline),1
7626,68.50527,112.45029,5000,ND,ND,ND,ND,ND,Оленек,Оленек,ND,loess,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,magnetostratigraphy,ND,ND,ND,ND,ND,Ruhin_LB_1959_Osnovi_obschei_paleogeografii.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; «118° 120° 122° 124° 126° Оленек»,auto-extraction (loess pipeline),1
7628,56.65485,30.13054,5000,ND,ND,ND,ND,ND,Говорово,Говорово,ND,loess,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,magnetostratigraphy,ND,ND,ND,ND,ND,Ruhin_LB_1959_Osnovi_obschei_paleogeografii.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; «Говорово»,auto-extraction (loess pipeline),1
7629,46.31612,44.03271,5000,ND,ND,ND,ND,ND,Булук,Булук,ND,loess,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,magnetostratigraphy,ND,ND,ND,ND,ND,Ruhin_LB_1959_Osnovi_obschei_paleogeografii.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; «70° 128° Булук»,auto-extraction (loess pipeline),1
7630,70.68497,127.36109,5000,ND,ND,ND,ND,ND,Кюсюр,Кюсюр,ND,loess,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,magnetostratigraphy,ND,ND,ND,ND,ND,Ruhin_LB_1959_Osnovi_obschei_paleogeografii.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; «70° 128° Кюсюр»,auto-extraction (loess pipeline),1
7638,56.36752,60.96014,5000,ND,ND,ND,ND,ND,разрез № 5,разрез № 5,ND,alluvium; marine deposits,Upper Pleistocene; Holocene,Yes,ND,ND,ND,ND,ND,ND,Ruhin_LB_1959_Osnovi_obschei_paleogeografii.pdf,ND,ND,ND,ND,ND,ND,ND,ND,"консолидировано из 1 источн.; «в море, отложения которого вскрыты в разрезе № 5»",auto-extraction (loess pipeline),1
7639,56.36752,60.96014,5000,ND,ND,ND,ND,ND,разрез № 1,разрез № 1,ND,alluvium; marine deposits; slope deposits,Lower Pleistocene,Yes,ND,ND,ND,ND,ND,ND,Ruhin_LB_1959_Osnovi_obschei_paleogeografii.pdf,ND,ND,ND,ND,ND,ND,ND,ND,"консолидировано из 1 источн.; «Возвышенность, в пределах которой расположен разрез № 1»",auto-extraction (loess pipeline),1
7640,56.36752,60.96014,5000,ND,ND,ND,ND,ND,разрез № 3,разрез № 3,ND,alluvium,Middle Pleistocene,Yes,ND,ND,ND,ND,ND,ND,Ruhin_LB_1959_Osnovi_obschei_paleogeografii.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; «падение к северо‑западу косой слоистости речного типа в разрезе № 3»,auto-extraction (loess pipeline),1
7641,56.36752,60.96014,5000,ND,ND,ND,ND,ND,разрез № 6,разрез № 6,ND,marine deposits; slope deposits,Upper Pleistocene; Holocene,Yes,ND,ND,ND,ND,ND,ND,Ruhin_LB_1959_Osnovi_obschei_paleogeografii.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; «переходных песчано‑глинистых отложений в разрезах № 5 и 6 (в которых перерыв отсутствует)»,auto-extraction (loess pipeline),1
7642,56.29926,50.40906,5000,ND,ND,ND,ND,ND,Бурбаш,Бурбаш,ND,marine deposits; slope deposits,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,magnetostratigraphy,ND,ND,ND,ND,ND,Ruhin_LB_1959_Osnovi_obschei_paleogeografii.pdf,ND,ND,ND,ND,ND,ND,ND,ND,"консолидировано из 1 источн.; «В одном из разрезов (Бурбаш) западной части Наукатской котловины … были найдены остатки Protounio jerganensis Martins., P. Simakovi Mart.»",auto-extraction (loess pipeline),1
7643,56.06231,55.33691,5000,ND,ND,ND,ND,ND,Кызыл‑Яр,Кызыл‑Яр,ND,marine deposits; slope deposits,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,magnetostratigraphy,ND,ND,ND,ND,ND,Ruhin_LB_1959_Osnovi_obschei_paleogeografii.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; «Очень плохо сохранившиеся протоуниониды были найдены также в грубозернистых песчаниках и гравийниках в разрезах Кызыл‑Яр и Кара‑Кульджа (Восточная Фе,auto-extraction (loess pipeline),1
7671,65.90334,65.34922,5000,ND,ND,ND,ND,ND,Шурышкары,Шурышкары,ND,loess,Upper Pleistocene,Yes,(U-Th)/He; OSL,ND,ND,ND,ND,ND,SBORNIK-part1.pdf,ND,ND,ND,ND,ND,ND,ND,ND,"консолидировано из 1 источн.; На приполярной Оби (Шурышкары и Пяк-Яха) этот термомер представлен мощными, не перекрытыми мореной торфяниками с южно-таежной пыльцой [Астахов и др.,",auto-extraction (loess pipeline),1
7674,55.93196,62.57411,5000,ND,ND,ND,ND,ND,Казанцева,Казанцева,ND,marine deposits,Upper Pleistocene,Yes,ND,ND,ND,ND,ND,ND,SBORNIK-part1.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; Возраст морских слоев в стратотипе у с. Казанцева хронометрически не определялся.,auto-extraction (loess pipeline),1
7675,58.47102,49.81393,5000,ND,ND,ND,ND,ND,Полой,Полой,ND,loess-like silty loam,Upper Pleistocene,Yes,14C; OSL,ND,ND,ND,ND,ND,SBORNIK-part1.pdf,ND,ND,ND,ND,ND,ND,ND,ND,"консолидировано из 1 источн.; по разрезам Нижнего Енисея (Малая Хета и Полой) [Астахов, Мангеруд, 2005, 2007]",auto-extraction (loess pipeline),1
7680,46.87872,38.75617,5000,ND,ND,ND,ND,ND,Порт‑Катон‑1,Порт‑Катон‑1,ND,alluvium; loess; slope deposits,Middle Pleistocene,Yes,magnetostratigraphy,ND,ND,ND,ND,ND,SBORNIK-part1.pdf,ND,ND,ND,ND,ND,ND,ND,ND,"консолидировано из 1 источн.; «ассоциация мелких позвоночных (Порт‑Катон 1) … включает Desmana sp., Mimomys savini, Allophaiomys cf. pliocaenicus, Microtus aff. nutiensis, Lagurodo",auto-extraction (loess pipeline),1
7681,46.87872,38.75617,5000,ND,ND,ND,ND,ND,Порт‑Катон‑4,Порт‑Катон‑4,ND,alluvium; slope deposits,Upper Pleistocene,Yes,magnetostratigraphy,ND,ND,ND,ND,ND,SBORNIK-part1.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; «фауна мелких млекопитающих (Порт‑Катон‑4) тираспольского фаунистического комплекса» (текст)【12】,auto-extraction (loess pipeline),1
7694,55.0652,36.6769,5000,ND,ND,ND,ND,ND,Кривошеино,Кривошеино,ND,loess-like loam,Upper Pleistocene,Yes,(U-Th)/He,ND,ND,ND,ND,ND,SBORNIK-part10.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; Возраст погребенного торфяника из разреза Кривошеино,auto-extraction (loess pipeline),1
7699,52.39129,83.66825,5000,ND,ND,ND,ND,ND,Усть‑Чарышская пристань,Усть‑Чарышская пристань,ND,loess; marine deposits,Upper Pleistocene,Yes,ND,ND,ND,ND,ND,ND,SBORNIK-part10.pdf,ND,ND,ND,ND,ND,ND,ND,ND,"консолидировано из 1 источн.; [""лессово‑почвенные разрезы на левобережье Оби в её верхнем течении – Усть‑Чарышская пристань, Белово‑Вяткино, Белово и др. [Глобальные…, 2008]"" ]",auto-extraction (loess pipeline),1
7737,69.71389,66.8123,5000,ND,ND,ND,ND,ND,Марре-Сале,Марре-Сале,Ямало-Ненецкий автономный округ,loess-like loam,Upper Pleistocene,Yes,ND,ND,ND,ND,ND,ND,SBORNIK-part12.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; описанной в стратотипическом разрезе у полярной станции Марре-Сале,auto-extraction (loess pipeline),1
7741,57.1678,39.31658,5000,ND,ND,ND,ND,ND,Пужбол-2,Пужбол-2,ND,alluvium; loess,Upper Pleistocene,Yes,14C,ND,ND,ND,ND,ND,SBORNIK-part12.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; разрез Пужбол-2,auto-extraction (loess pipeline),1
7742,59.88631,45.98789,5000,ND,171,ND,ND,ND,Косково-1,Косково-1,ND,alluvium; loess,Upper Pleistocene; Holocene,Yes,14C,ND,ND,ND,ND,ND,SBORNIK-part12.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; Опорный разрез позднего неоплейстоцена Косково-1; опорный разрез позднего неоплейстоцена Косково 1-06,auto-extraction (loess pipeline),1
7745,57.1678,39.31658,5000,ND,130–140,ND,ND,ND,Пужбол,Пужбол,Ярославская обл.,loess-like silty loam; marine deposits; slope deposits,Middle Pleistocene; Upper Pleistocene,Yes,ND,ND,ND,ND,ND,ND,SBORNIK-part12.pdf,ND,ND,ND,ND,ND,ND,ND,ND,"консолидировано из 1 источн.; Изучены опорные страторазрезы, приуроченные к ближайшей перигляциальной зоне центра Русской равнины... Детально исследованный разрез позднего неоплейс",auto-extraction (loess pipeline),1
7746,58.24313,38.88421,5000,ND,ND,ND,ND,ND,Косково,Косково,Ярославская обл.,ND,Upper Pleistocene,Yes,ND,ND,ND,ND,ND,ND,SBORNIK-part12.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; ОПОРНЫЕ РАЗРЕЗЫ ПОЗДНЕГО НЕОПЛЕЙСТОЦЕНА КОСКОВО И ПУЖБОЛ,auto-extraction (loess pipeline),1
7747,57.1678,39.31658,5000,ND,ND,ND,ND,ND,Пужбол,Пужбол,ND,loess-like silty loam,Holocene,Yes,14C,ND,ND,ND,ND,ND,SBORNIK-part12.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; Опорный разрез позднего неоплейстоцена Пужбол (показаны отдельные расчистки).,auto-extraction (loess pipeline),1
7771,59.8424,31.58666,5000,ND,ND,ND,ND,ND,Назия,Назия,ND,alluvium; loess; loess-like silty loam; marine deposits; slope deposits,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,14C,ND,ND,ND,ND,ND,SBORNIK-part13.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; Рис. 1. Спорово-пыльцевая диаграмма разреза Назия (расчистка 1).,auto-extraction (loess pipeline),1
7774,69.71839,62.69682,5000,ND,ND,ND,ND,ND,Шпиндлер,Шпиндлер,ND,alluvium,Upper Pleistocene,Yes,ND,ND,ND,ND,ND,ND,SBORNIK-part13.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; разрезе «Шпиндлер»,auto-extraction (loess pipeline),1
7798,57.62639,39.89337,5000,ND,ND,ND,ND,ND,Ярославль,Ярославль,ND,till,Upper Pleistocene,Yes,ND,ND,ND,ND,ND,ND,SBORNIK-part14pdf.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; Ярославль,auto-extraction (loess pipeline),1
7813,52.63932,26.44607,5000,ND,ND,ND,ND,ND,Ложка,Ложка,ND,alluvium; loess; loess-like loam; loess-like silty loam; slope deposits,Holocene,Yes,14C,ND,ND,ND,ND,ND,SBORNIK-part14pdf.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; разреза оз. Ложка,auto-extraction (loess pipeline),1
7815,53.00409,102.78369,5000,ND,ND,ND,ND,ND,Герасимова,Герасимова,Иркутская область,loess,Upper Pleistocene,Yes,ND,ND,ND,ND,ND,ND,SBORNIK-part14pdf.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; стоянка Герасимова в г. Иркутске при впадении р. Иркут в р. Ангару,auto-extraction (loess pipeline),1
7827,57.34374,83.93015,5000,ND,ND,ND,ND,ND,Кривошеино,Кривошеино,Томская область,loess,Middle Pleistocene,Yes,ND,ND,ND,ND,ND,ND,SBORNIK-part15.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; Кривошеино (нижний костеносный уровень),auto-extraction (loess pipeline),1
7828,56.1331,83.93468,5000,ND,ND,ND,ND,ND,Уртам,Уртам,Томская область,loess,Middle Pleistocene,Yes,ND,ND,ND,ND,ND,ND,SBORNIK-part15.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; Уртам (Томская обл.),auto-extraction (loess pipeline),1
7829,53.96272,75.06382,5000,ND,ND,ND,ND,ND,Татарка,Татарка,Омская область,loess,Middle Pleistocene,Yes,ND,ND,ND,ND,ND,ND,SBORNIK-part15.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; Татарка (Омская обл.),auto-extraction (loess pipeline),1
7830,52.51965,83.62497,5000,ND,ND,ND,ND,ND,Вяткино,Вяткино,Алтайский край,loess,Lower Pleistocene,Yes,ND,ND,ND,ND,ND,ND,SBORNIK-part15.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; Барнаульское Приобье у c. Вяткина,auto-extraction (loess pipeline),1
7832,53.36879,75.54744,5000,ND,ND,ND,ND,ND,п. Пятирыжск,п. Пятирыжск,Республика Казахстан,alluvium,Middle Pleistocene,Yes,ND,ND,ND,ND,ND,ND,SBORNIK-part15.pdf,ND,ND,ND,ND,ND,ND,ND,ND,"консолидировано из 1 источн.; хранится череп ископаемого слона, найденный в начале 1980-х годов у п. Пятирыжск на р. Иртыш",auto-extraction (loess pipeline),1
7838,51.15372,49.16467,5000,ND,ND,ND,ND,ND,Славин Яр,Славин Яр,ND,alluvium; loess-like loam; loess-like silty loam,Upper Pleistocene,Yes,14C,ND,ND,ND,ND,ND,SBORNIK-part15.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; Местонахождение Славин Яр расположено в Торской впадине.,auto-extraction (loess pipeline),1
7839,51.75773,104.06958,5000,16,ND,ND,ND,ND,Шабартуй,Шабартуй,ND,alluvium; loess-like silty loam,Upper Pleistocene,Yes,TL,ND,ND,ND,ND,ND,SBORNIK-part15.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; Разрез Шабартуй находится на правобережье Иркута,auto-extraction (loess pipeline),1
7840,56.61341,29.03312,5000,5,ND,ND,ND,ND,Еловка,Еловка,ND,loess-like loam; loess-like silty loam,Upper Pleistocene,Yes,TL,ND,ND,ND,ND,ND,SBORNIK-part15.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; Местонахождение Еловка расположено в восточной окраине Тункинской впадины,auto-extraction (loess pipeline),1
7841,51.68738,102.62831,5000,4,ND,ND,ND,ND,Зактуй,Зактуй,ND,loess-like silty loam,Upper Pleistocene,Yes,14C,ND,ND,ND,ND,ND,SBORNIK-part15.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; Местонахождение Зактуй расположено в Тункинской впадине,auto-extraction (loess pipeline),1
7847,51.06234,77.19851,5000,ND,ND,ND,ND,ND,Сатинский,Сатинский,ND,loess,Middle Pleistocene,Yes,ND,ND,ND,ND,ND,ND,SBORNIK-part2.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; Сатинским разрезом (парастратотипом),auto-extraction (loess pipeline),1
7861,53.76913,81.84587,5000,ND,ND,ND,ND,ND,Тараданово,Тараданово,ND,loess,Upper Pleistocene,Yes,14C,ND,ND,ND,ND,ND,SBORNIK-part2.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; Тараданово (W-1–2),auto-extraction (loess pipeline),1
7862,57.19533,56.90326,5000,ND,ND,ND,ND,ND,Орда,Орда,ND,loess,Upper Pleistocene,Yes,ND,ND,ND,ND,ND,ND,SBORNIK-part2.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; p. Орда (W-3),auto-extraction (loess pipeline),1
7863,54.99441,82.4427,5000,ND,ND,ND,ND,ND,Чик,Чик,ND,loess,Upper Pleistocene,Yes,ND,ND,ND,ND,ND,ND,SBORNIK-part2.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; р. Чик (W-2–3),auto-extraction (loess pipeline),1
7865,54.99441,82.4427,5000,ND,ND,ND,ND,ND,Чик,Чик,Новосибирская область,alluvium,Upper Pleistocene,Yes,14C,ND,ND,ND,ND,ND,SBORNIK-part2.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; В русле р. Чик (30 км к северо-западу от Новосибирска),auto-extraction (loess pipeline),1
7876,53.33859,34.12136,5000,ND,ND,ND,ND,ND,Хотылево-6,Хотылево-6,ND,alluvium; loess-like loam; slope deposits,Upper Pleistocene,Yes,ND,ND,ND,ND,ND,ND,SBORNIK-part3.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; На памятнике Хотылево-6 обнаружены два культурных слоя... Нижний культурный слой Хотылево-6... связан с гумусовым горизонтом погребенной брянской почв,auto-extraction (loess pipeline),1
