ID,N,E,"Accuracy (radius, m)","Thickness, m","Absolute elevation, m a.s.l.",Type of excavation,Geomorphological position modern,Geomorphological position,Name of geographic feature,Nearest locality,Administrative unit,Type of deposits,Stratigraphic position,Chronological data available,Dating method,Number of magnetostratigraphy boundaries,Number of  14С dates ,Number of  OSL dates,Number of  TL dates,Number of (U–Th)/He dates ,Publication 1,DOI / link 1,Publication 2,DOI / link 2,Publication 3,DOI / link 3,Publication 4,DOI / link 4,Principal investigator,Comments,Data contributor,n_sources
1,44.78053,44.16336,5000,1–100,90–130,ND,ND,ND,Буденновск,Буденновск,ND,alluvium; loess; loess-like loam; loess-like silty loam; marine deposits; slope deposits,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,OSL; TL; magnetostratigraphy,ND,ND,ND,ND,ND,Галай Научные статьи.pdf,ND,Галай_1981_Некотороые закономерности строения лессовых толщ.pdf,ND,Диссертация Галай,ND,Трофимов_ред._Лессовый покров Земли_2001.pdf,ND,ND,консолидировано из 5 источн.; г. Буденновск || г. Буденновск,auto-extraction (loess pipeline),5
30,47.26878,39.4438,5000,3.5–4,ND,ND,ND,ND,Хапры,Хапры,ND,alluvium; loess; loess-like loam; loess-like silty loam; marine deposits; slope deposits,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,14C; OSL; TL; magnetostratigraphy,ND,ND,ND,ND,ND,Kaplin_PA_1976_Rukovodstvo_po_izucheniu_noveishih_otlozhenii.pdf,ND,Markov_KK_1976_Razrez_noveishih_oltozhenii_Severo_vostochnogo_Priazoviya.PDF,ND,Markov_KK_Velichko_AA_1968_Pleistocen.pdf,ND,Titov2008.pdf,ND,ND,"консолидировано из 6 источн.; побережье Азовского моря — Хапры || в хапровских песках у станицы Хапры, где впервые изучен хапровский фаунистический комплекс",auto-extraction (loess pipeline),6
31,45.71972,42.91629,5000,20–100,148,ND,ND,ND,Ипатово,Ипатово,ND,alluvium; loess; loess-like loam; loess-like silty loam; marine deposits; slope deposits,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,magnetostratigraphy,ND,ND,ND,ND,ND,"Балаев, Царев Лессовые породы предкавепзья. 1964",ND,Галай Научные статьи.pdf,ND,Галай_1981_Некотороые закономерности строения лессовых толщ.pdf,ND,Диссертация Галай,ND,ND,консолидировано из 5 источн.; Ипатово || в г. Ипатово,auto-extraction (loess pipeline),5
32,44.78053,44.16336,5000,12–100,90–130,ND,ND,ND,Буденновск,Буденновск,Ставропольский край,loess; loess-like loam; loess-like silty loam; slope deposits,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,TL; magnetostratigraphy,ND,ND,ND,ND,ND,Галай Научные статьи.pdf,ND,Трофимов_ред._Опорные разрезы лессовых пород_2008.pdf,ND,лесс Китая и Кавказа - сравнение.pdf,ND,ND,ND,ND,консолидировано из 3 источн.; 6. Буденновская больница после первого и самого крупного террористического акта в новой России в июне 1995 года. || В лёссовой толще г. Буденновска отсутствуют водонепроницаемые прослои.,auto-extraction (loess pipeline),3
33,56.60677,38.52395,5000,9,ND,ND,ND,ND,Шабельское,Шабельское,ND,alluvium; loess; loess-like loam; loess-like silty loam; marine deposits; slope deposits,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,14C; OSL; TL; magnetostratigraphy,ND,ND,ND,ND,ND,"2009_Калинин,Алексеев,Савко_ Лёссы, палеопочвы и палеогеография квартера юго-востока русской равнины.pdf",ND,"2011_Kalinin,Alexeev_Geochemical Characterization of Loess–Soil Complexes on the Terek–Kuma Plain and the Azov–Kuban’ Lowland.pdf",ND,Beglitsa 2018.pdf,ND,Величко (2009). Особенности строения лёсс,ND,ND,консолидировано из 6 источн.; Лессовый разрез «Шабельское» || Лёссово-почвенный разрез «Шабельское»,auto-extraction (loess pipeline),6
35,58.88231,50.21515,5000,6.7–30,25–44,ND,ND,ND,Пушкари,Пушкари,ND,alluvium; loess; loess-like loam; loess-like silty loam; marine deposits; slope deposits; till,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,14C; magnetostratigraphy,ND,ND,ND,ND,ND,Gerasimov_IP_1969_Loess_periglyacial_paleolit_na_territorii_Srednei_I_Vostochnoi_Evropi.pdf,ND,Gerasimov_IP_Velichko_AA_1980_Vozrast_i_rasprostranenie_maksimalnogo_oledeneniya_Vostochnoi_Evropi.pdf,ND,Markov_KK_1961_Relief_i_stratigrafiya_chetvertichnih_otlozhenii_NW_Russkoi_ravnini.pdf,ND,Markov_KK_La,ND,ND,"консолидировано из 9 источн.; Profile von Puschkari || разрезы Араповичи, Мезин, Пушкари",auto-extraction (loess pipeline),9
36,54.41932,86.30343,5000,ND,ND,ND,ND,ND,Белово,Белово,ND,alluvium; loess; loess-like loam; loess-like silty loam; marine deposits; slope deposits; till,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,14C; OSL; magnetostratigraphy,ND,ND,ND,ND,ND,Bolihovskaya_NS_Kaplin_PA_2008_Problemi_paleogeografii_i_stratigrafii_pleistocena_Vipusk2.pdf,ND,Derevyanko_AP_2008_Globalnie_i_regionalnie_izmeneniya_klimata_i_prirodnoi_sredi_pozdnego_kainozoya_v_Sibiri.pdf,ND,Kaplin_PA_Yanina_TA_2010_Metody_paleogeograficheskih_rekonstrukcii.pdf,ND,SBORNIK-part10.pd,ND,ND,"консолидировано из 9 источн.; «Разрез Белово расположен на левом берегу реки Обь, в 80 км выше г. Барнаула, вблизи с. Белово» || разрез Белово",auto-extraction (loess pipeline),9
37,46.1748,30.4585,5000,48,ND,ND,ND,ND,Роксоланы,Роксоланы,ND,alluvium; loess; loess-like loam; loess-like silty loam; slope deposits,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,14C; OSL; TL; magnetostratigraphy,ND,ND,ND,ND,ND,Dodonov_azov_2005.pdf,ND,Palaeowind directions and sources of detrital material archived in the.pdf,ND,Wulf et al_2016_The ‘Roxolany Tephra’ (Ukraine).pdf,ND,gendler2006.pdf,ND,ND,"консолидировано из 10 источн.; «в разрезе Роксоланы, где имеется радиоуглеродная дата – AMS 6760±240 тыс. л.» || Roxolany (45.8°N, 30.4°E)",auto-extraction (loess pipeline),10
39,45.44647,40.84762,5000,31–34,ND,ND,ND,ND,Темижбекская,Темижбекская,ND,alluvium; loess; loess-like loam; loess-like silty loam; slope deposits; volcanic ash,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,14C; magnetostratigraphy,ND,ND,ND,ND,ND,Melekestsev et al_2005.pdf,ND,"Белуженко,Письменная_2016_Континентальные отложения верхнего миоцена–эоплейстоцена северной части западного предкавказья.pdf",ND,Богатиков и др._2001_Эльбрус.pdf,ND,Газеев и др._2011_Плиоцен-четвертичные пеплы ЮФО.pdf,ND,ND,"консолидировано из 8 источн.; обнаруженные линзы вулканического пепла на р.Кубани в станице Темижбекской || так же как и в разрезе станицы Темижбекской, в верхней части свиты отмечен прослой вулканического пепла мощностью 0.4 м",auto-extraction (loess pipeline),8
40,50.4906,24.17402,5000,0.5–19,ND,ND,ND,ND,Бояничи,Бояничи,ND,alluvium; loess; loess-like loam; loess-like silty loam; slope deposits; till,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,14C; OSL; magnetostratigraphy,ND,ND,ND,ND,ND,Velichko_AA_1975_Problemi_paleogeografii_lessovih_i_periglyacialnih_oblastei.pdf,ND,Velichko_AA_1985_Kraevie_obrazovaniya_materikovih_oledenenii.pdf,ND,Velichko_AA_1997_Lessovo-pochvennaya_formaciya_Vostochno-Evropeiskoi_ravnini.pdf,ND,Velichko_AA_1997_Lessovo-pochvennaya_formaciya_Vostochno_evropeisko,ND,ND,"консолидировано из 8 источн.; (разрез Бояничи) || «в других разрезах (Бояничи, Торчин) отмечаются структуры, начинающиеся у кровли зеленовато‑сизых суглинков и выполненные супесчано‑песчаными отложени",auto-extraction (loess pipeline),8
41,54.09855,36.24725,5000,20,ND,ND,ND,ND,Чекалин,Чекалин,ND,alluvium; loess; loess-like loam; loess-like silty loam; marine deposits; slope deposits; till,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene,Yes,14C; OSL; TL; magnetostratigraphy,ND,ND,ND,ND,ND,BolikhovskayaFaustovMarkova_QI_409_2016_pp_16-32.pdf,ND,Kabailene_MV_1970_Istoriya_ozer_Tom2.pdf,ND,Kaplin_PA_1976_Rukovodstvo_po_izucheniu_noveishih_otlozhenii.pdf,ND,Markov_KK_Lazukov_GI_1965_Chetvertichnii_period_Tom1.pdf,ND,ND,консолидировано из 15 источн.; Chekalin || скв. 152816 у г. Чекалин,auto-extraction (loess pipeline),15
